"Cell.Index","Cluster_1_ResRNA_0.2_ResATAC_0.2_Iters_5_Dims_1to10","Cluster_2_ResRNA_0-3_ResATAC_0-3_Iters_5_Dims_1to15"
1,"C7","C1"
2,"C5","C2"
3,"C3","C1"
4,"C10","C9"
5,"C5","C12"
6,"C7","C6"
7,"C5","C12"
8,"C5","C12"
9,"C5","C12"
10,"C3","C1"
11,"C5","C12"
12,"C3","C1"
13,"C3","C1"
14,"C5","C12"
15,"C3","C1"
16,"C3","C1"
17,"C1","C4"
18,"C5","C12"
19,"C3","C1"
20,"C3","C1"
21,"C3","C2"
22,"C3","C1"
23,"C3","C1"
24,"C3","C1"
25,"C5","C12"
26,"C3","C1"
27,"C10","C9"
28,"C3","C1"
29,"C7","C6"
30,"C3","C1"
31,"C5","C2"
32,"C5","C12"
33,"C3","C1"
34,"C8","C7"
35,"C3","C1"
36,"C7","C6"
37,"C10","C9"
38,"C3","C1"
39,"C5","C2"
40,"C5","C12"
41,"C5","C12"
42,"C3","C1"
43,"C9","C8"
44,"C5","C12"
45,"C10","C9"
46,"C3","C1"
47,"C5","C12"
48,"C3","C1"
49,"C7","C6"
50,"C6","C13"
51,"C5","C12"
52,"C7","C6"
53,"C5","C12"
54,"C5","C12"
55,"C9","C7"
56,"C5","C2"
57,"C5","C2"
58,"C3","C1"
59,"C5","C2"
60,"C5","C12"
61,"C9","C7"
62,"C9","C7"
63,"C3","C1"
64,"C3","C1"
65,"C7","C6"
66,"C5","C2"
67,"C7","C6"
68,"C3","C1"
69,"C5","C12"
70,"C3","C1"
71,"C5","C2"
72,"C3","C1"
73,"C3","C1"
74,"C5","C2"
75,"C5","C12"
76,"C7","C6"
77,"C3","C1"
78,"C3","C1"
79,"C5","C12"
80,"C3","C1"
81,"C7","C6"
82,"C5","C2"
83,"C5","C12"
84,"C7","C6"
85,"C7","C6"
86,"C5","C12"
87,"C3","C1"
88,"C3","C1"
89,"C10","C9"
90,"C7","C6"
91,"C7","C6"
92,"C5","C12"
93,"C7","C6"
94,"C9","C7"
95,"C5","C12"
96,"C7","C6"
97,"C9","C8"
98,"C3","C1"
99,"C5","C2"
100,"C5","C12"
101,"C5","C2"
102,"C3","C1"
103,"C3","C1"
104,"C10","C9"
105,"C10","C9"
106,"C4","C11"
107,"C5","C12"
108,"C3","C1"
109,"C3","C1"
110,"C7","C6"
111,"C7","C6"
112,"C7","C6"
113,"C3","C1"
114,"C3","C1"
115,"C3","C1"
116,"C5","C2"
117,"C3","C1"
118,"C5","C2"
119,"C7","C6"
120,"C5","C12"
121,"C5","C2"
122,"C4","C3"
123,"C7","C6"
124,"C1","C4"
125,"C5","C12"
126,"C5","C12"
127,"C3","C1"
128,"C3","C1"
129,"C5","C12"
130,"C7","C8"
131,"C3","C1"
132,"C3","C1"
133,"C9","C7"
134,"C1","C4"
135,"C7","C6"
136,"C5","C12"
137,"C7","C6"
138,"C10","C9"
139,"C5","C2"
140,"C7","C6"
141,"C5","C2"
142,"C5","C12"
143,"C5","C12"
144,"C7","C6"
145,"C3","C1"
146,"C3","C1"
147,"C3","C1"
148,"C6","C13"
149,"C8","C7"
150,"C3","C1"
151,"C7","C6"
152,"C3","C1"
153,"C6","C13"
154,"C7","C6"
155,"C3","C1"
156,"C3","C1"
157,"C3","C1"
158,"C9","C7"
159,"C5","C12"
160,"C3","C1"
161,"C3","C1"
162,"C5","C12"
163,"C3","C1"
164,"C5","C12"
165,"C3","C1"
166,"C1","C5"
167,"C8","C7"
168,"C3","C1"
169,"C5","C12"
170,"C1","C4"
171,"C7","C6"
172,"C9","C8"
173,"C3","C1"
174,"C7","C7"
175,"C3","C1"
176,"C3","C1"
177,"C6","C13"
178,"C7","C6"
179,"C5","C12"
180,"C5","C12"
181,"C5","C12"
182,"C1","C5"
183,"C3","C1"
184,"C3","C1"
185,"C3","C1"
186,"C5","C6"
187,"C5","C2"
188,"C5","C2"
189,"C7","C6"
190,"C7","C6"
191,"C3","C1"
192,"C5","C12"
193,"C3","C1"
194,"C3","C1"
195,"C5","C2"
196,"C3","C1"
197,"C3","C1"
198,"C7","C6"
199,"C3","C1"
200,"C5","C12"
201,"C9","C7"
202,"C3","C1"
203,"C3","C1"
204,"C5","C1"
205,"C9","C8"
206,"C10","C9"
207,"C3","C1"
208,"C10","C9"
209,"C5","C12"
210,"C9","C7"
211,"C9","C7"
212,"C3","C1"
213,"C5","C12"
214,"C10","C9"
215,"C3","C1"
216,"C7","C6"
217,"C9","C8"
218,"C3","C1"
219,"C9","C8"
220,"C3","C1"
221,"C4","C3"
222,"C10","C9"
223,"C2","C5"
224,"C3","C1"
225,"C10","C9"
226,"C5","C12"
227,"C5","C2"
228,"C3","C1"
229,"C6","C13"
230,"C5","C2"
231,"C5","C12"
232,"C3","C1"
233,"C9","C8"
234,"C7","C6"
235,"C5","C2"
236,"C10","C9"
237,"C5","C12"
238,"C5","C12"
239,"C5","C2"
240,"C5","C12"
241,"C3","C1"
242,"C3","C1"
243,"C3","C1"
244,"C8","C7"
245,"C3","C1"
246,"C9","C7"
247,"C11","C10"
248,"C3","C1"
249,"C5","C12"
250,"C7","C6"
251,"C9","C7"
252,"C3","C1"
253,"C5","C2"
254,"C5","C12"
255,"C5","C12"
256,"C3","C1"
257,"C8","C7"
258,"C9","C8"
259,"C5","C12"
260,"C3","C1"
261,"C6","C13"
262,"C10","C9"
263,"C10","C9"
264,"C3","C1"
265,"C3","C1"
266,"C10","C9"
267,"C7","C6"
268,"C5","C12"
269,"C8","C7"
270,"C3","C1"
271,"C3","C1"
272,"C5","C12"
273,"C10","C9"
274,"C5","C12"
275,"C3","C1"
276,"C5","C2"
277,"C3","C1"
278,"C3","C1"
279,"C3","C1"
280,"C1","C4"
281,"C3","C1"
282,"C7","C6"
283,"C7","C6"
284,"C5","C12"
285,"C3","C1"
286,"C7","C6"
287,"C7","C6"
288,"C9","C7"
289,"C3","C1"
290,"C5","C12"
291,"C7","C6"
292,"C3","C1"
293,"C7","C6"
294,"C3","C1"
295,"C10","C9"
296,"C3","C1"
297,"C9","C7"
298,"C6","C13"
299,"C5","C12"
300,"C7","C6"
301,"C6","C14"
302,"C3","C1"
303,"C3","C1"
304,"C4","C11"
305,"C5","C12"
306,"C10","C9"
307,"C7","C6"
308,"C3","C1"
309,"C7","C6"
310,"C3","C1"
311,"C5","C12"
312,"C10","C9"
313,"C9","C7"
314,"C5","C2"
315,"C5","C12"
316,"C3","C1"
317,"C5","C12"
318,"C7","C6"
319,"C10","C9"
320,"C1","C4"
321,"C10","C9"
322,"C5","C12"
323,"C9","C7"
324,"C3","C1"
325,"C5","C2"
326,"C4","C3"
327,"C7","C6"
328,"C7","C6"
329,"C2","C5"
330,"C5","C2"
331,"C7","C6"
332,"C3","C1"
333,"C3","C1"
334,"C1","C4"
335,"C3","C1"
336,"C5","C12"
337,"C8","C7"
338,"C5","C12"
339,"C1","C4"
340,"C4","C11"
341,"C9","C7"
342,"C10","C9"
343,"C1","C4"
344,"C3","C1"
345,"C9","C7"
346,"C4","C3"
347,"C7","C6"
348,"C7","C6"
349,"C7","C6"
350,"C3","C1"
351,"C7","C6"
352,"C4","C3"
353,"C10","C9"
354,"C5","C12"
355,"C10","C9"
356,"C5","C12"
357,"C4","C11"
358,"C5","C12"
359,"C5","C12"
360,"C1","C4"
361,"C4","C11"
362,"C3","C13"
363,"C3","C1"
364,"C9","C8"
365,"C10","C9"
366,"C3","C1"
367,"C5","C12"
368,"C3","C1"
369,"C8","C7"
370,"C7","C6"
371,"C5","C12"
372,"C8","C7"
373,"C6","C14"
374,"C7","C6"
375,"C3","C1"
376,"C10","C9"
377,"C10","C9"
378,"C5","C2"
379,"C1","C4"
380,"C3","C1"
381,"C5","C12"
382,"C10","C9"
383,"C1","C4"
384,"C10","C9"
385,"C5","C2"
386,"C10","C9"
387,"C1","C5"
388,"C1","C4"
389,"C3","C1"
390,"C3","C1"
391,"C7","C7"
392,"C10","C9"
393,"C10","C9"
394,"C1","C4"
395,"C5","C12"
396,"C3","C1"
397,"C10","C9"
398,"C1","C4"
399,"C6","C13"
400,"C7","C6"
401,"C3","C1"
402,"C7","C6"
403,"C3","C1"
404,"C4","C11"
405,"C10","C9"
406,"C5","C2"
407,"C3","C1"
408,"C3","C1"
409,"C3","C1"
410,"C5","C12"
411,"C10","C9"
412,"C10","C9"
413,"C1","C4"
414,"C3","C1"
415,"C3","C1"
416,"C10","C9"
417,"C7","C6"
418,"C3","C1"
419,"C1","C4"
420,"C3","C1"
421,"C10","C9"
422,"C8","C7"
423,"C7","C6"
424,"C6","C13"
425,"C7","C6"
426,"C1","C4"
427,"C1","C4"
428,"C3","C1"
429,"C8","C7"
430,"C9","C7"
431,"C1","C4"
432,"C3","C1"
433,"C5","C12"
434,"C4","C3"
435,"C1","C4"
436,"C10","C9"
437,"C5","C2"
438,"C7","C6"
439,"C4","C3"
440,"C3","C1"
441,"C6","C14"
442,"C7","C6"
443,"C3","C1"
444,"C10","C9"
445,"C10","C9"
446,"C3","C1"
447,"C3","C1"
448,"C10","C6"
449,"C8","C7"
450,"C7","C6"
451,"C3","C1"
452,"C7","C6"
453,"C3","C1"
454,"C5","C12"
455,"C3","C1"
456,"C7","C8"
457,"C5","C12"
458,"C5","C12"
459,"C4","C11"
460,"C5","C2"
461,"C7","C6"
462,"C1","C4"
463,"C3","C1"
464,"C7","C6"
465,"C5","C12"
466,"C3","C1"
467,"C5","C12"
468,"C1","C4"
469,"C5","C2"
470,"C4","C3"
471,"C5","C12"
472,"C5","C12"
473,"C7","C8"
474,"C3","C13"
475,"C5","C12"
476,"C1","C4"
477,"C5","C12"
478,"C9","C7"
479,"C9","C7"
480,"C3","C1"
481,"C5","C12"
482,"C3","C1"
483,"C6","C13"
484,"C8","C7"
485,"C10","C9"
486,"C5","C12"
487,"C3","C1"
488,"C5","C12"
489,"C3","C1"
490,"C1","C4"
491,"C6","C14"
492,"C10","C9"
493,"C3","C1"
494,"C7","C6"
495,"C10","C9"
496,"C7","C6"
497,"C5","C12"
498,"C8","C7"
499,"C9","C8"
500,"C7","C6"
501,"C3","C1"
502,"C3","C1"
503,"C3","C1"
504,"C5","C12"
505,"C10","C9"
506,"C10","C9"
507,"C9","C7"
508,"C3","C1"
509,"C7","C6"
510,"C7","C6"
511,"C3","C1"
512,"C5","C12"
513,"C5","C12"
514,"C1","C4"
515,"C3","C13"
516,"C4","C11"
517,"C5","C12"
518,"C1","C4"
519,"C7","C6"
520,"C7","C6"
521,"C11","C10"
522,"C3","C1"
523,"C3","C1"
524,"C4","C11"
525,"C3","C1"
526,"C7","C6"
527,"C5","C2"
528,"C10","C9"
529,"C3","C1"
530,"C5","C12"
531,"C3","C1"
532,"C10","C9"
533,"C10","C9"
534,"C3","C1"
535,"C5","C12"
536,"C5","C12"
537,"C9","C8"
538,"C10","C9"
539,"C4","C11"
540,"C5","C12"
541,"C10","C9"
542,"C7","C6"
543,"C3","C1"
544,"C3","C1"
545,"C3","C1"
546,"C3","C1"
547,"C1","C4"
548,"C10","C9"
549,"C10","C6"
550,"C5","C2"
551,"C6","C14"
552,"C3","C1"
553,"C3","C1"
554,"C8","C7"
555,"C5","C12"
556,"C7","C6"
557,"C3","C1"
558,"C10","C9"
559,"C5","C12"
560,"C11","C10"
561,"C5","C2"
562,"C7","C6"
563,"C10","C9"
564,"C3","C1"
565,"C9","C8"
566,"C3","C1"
567,"C3","C1"
568,"C7","C6"
569,"C3","C1"
570,"C7","C6"
571,"C10","C9"
572,"C3","C1"
573,"C9","C8"
574,"C5","C12"
575,"C1","C4"
576,"C5","C2"
577,"C5","C2"
578,"C1","C4"
579,"C4","C3"
580,"C5","C2"
581,"C5","C12"
582,"C9","C7"
583,"C3","C1"
584,"C10","C9"
585,"C10","C9"
586,"C5","C12"
587,"C9","C6"
588,"C5","C12"
589,"C5","C12"
590,"C10","C9"
591,"C9","C7"
592,"C4","C11"
593,"C8","C7"
594,"C5","C12"
595,"C10","C9"
596,"C1","C4"
597,"C5","C12"
598,"C3","C1"
599,"C10","C9"
600,"C3","C1"
601,"C9","C7"
602,"C10","C9"
603,"C6","C14"
604,"C7","C6"
605,"C5","C12"
606,"C3","C1"
607,"C3","C1"
608,"C7","C6"
609,"C7","C6"
610,"C5","C12"
611,"C3","C1"
612,"C3","C1"
613,"C4","C3"
614,"C1","C4"
615,"C5","C12"
616,"C7","C6"
617,"C10","C9"
618,"C3","C1"
619,"C3","C1"
620,"C5","C12"
621,"C4","C3"
622,"C3","C1"
623,"C5","C12"
624,"C8","C7"
625,"C3","C1"
626,"C8","C7"
627,"C4","C3"
628,"C10","C9"
629,"C7","C6"
630,"C7","C6"
631,"C8","C7"
632,"C10","C9"
633,"C3","C1"
634,"C3","C1"
635,"C7","C6"
636,"C8","C7"
637,"C7","C6"
638,"C3","C1"
639,"C7","C6"
640,"C7","C6"
641,"C6","C13"
642,"C4","C11"
643,"C1","C4"
644,"C10","C9"
645,"C9","C8"
646,"C5","C12"
647,"C7","C6"
648,"C3","C1"
649,"C3","C1"
650,"C7","C6"
651,"C10","C9"
652,"C10","C9"
653,"C5","C12"
654,"C5","C2"
655,"C9","C8"
656,"C11","C10"
657,"C10","C9"
658,"C1","C4"
659,"C5","C12"
660,"C5","C12"
661,"C9","C8"
662,"C5","C12"
663,"C3","C1"
664,"C7","C6"
665,"C3","C1"
666,"C7","C6"
667,"C5","C2"
668,"C3","C1"
669,"C5","C2"
670,"C1","C4"
671,"C7","C6"
672,"C3","C1"
673,"C8","C7"
674,"C5","C2"
675,"C5","C12"
676,"C5","C2"
677,"C1","C4"
678,"C7","C6"
679,"C6","C13"
680,"C3","C1"
681,"C5","C2"
682,"C7","C6"
683,"C1","C4"
684,"C5","C2"
685,"C3","C1"
686,"C10","C9"
687,"C5","C2"
688,"C3","C1"
689,"C3","C1"
690,"C7","C6"
691,"C9","C7"
692,"C7","C6"
693,"C5","C12"
694,"C4","C11"
695,"C9","C8"
696,"C4","C3"
697,"C9","C7"
698,"C5","C12"
699,"C7","C6"
700,"C5","C12"
701,"C8","C7"
702,"C1","C4"
703,"C5","C12"
704,"C5","C2"
705,"C3","C1"
706,"C10","C9"
707,"C3","C1"
708,"C5","C12"
709,"C1","C4"
710,"C3","C1"
711,"C9","C7"
712,"C5","C12"
713,"C6","C13"
714,"C9","C8"
715,"C8","C7"
716,"C7","C6"
717,"C6","C13"
718,"C1","C4"
719,"C1","C5"
720,"C3","C1"
721,"C10","C9"
722,"C7","C6"
723,"C5","C12"
724,"C9","C7"
725,"C9","C8"
726,"C3","C1"
727,"C3","C1"
728,"C3","C1"
729,"C5","C2"
730,"C10","C9"
731,"C3","C1"
732,"C1","C4"
733,"C1","C4"
734,"C7","C6"
735,"C10","C9"
736,"C3","C1"
737,"C7","C6"
738,"C1","C4"
739,"C5","C2"
740,"C6","C13"
741,"C10","C9"
742,"C7","C6"
743,"C5","C2"
744,"C10","C9"
745,"C1","C4"
746,"C3","C1"
747,"C10","C9"
748,"C7","C6"
749,"C6","C13"
750,"C6","C13"
751,"C3","C1"
752,"C8","C7"
753,"C10","C9"
754,"C10","C9"
755,"C3","C1"
756,"C5","C12"
757,"C3","C1"
758,"C3","C1"
759,"C5","C12"
760,"C4","C3"
761,"C4","C3"
762,"C5","C12"
763,"C5","C12"
764,"C3","C1"
765,"C7","C6"
766,"C3","C1"
767,"C1","C4"
768,"C3","C1"
769,"C5","C12"
770,"C10","C9"
771,"C1","C4"
772,"C10","C9"
773,"C10","C9"
774,"C3","C1"
775,"C7","C6"
776,"C1","C4"
777,"C6","C13"
778,"C3","C1"
779,"C8","C7"
780,"C2","C5"
781,"C1","C4"
782,"C10","C9"
783,"C9","C8"
784,"C10","C9"
785,"C3","C1"
786,"C8","C7"
787,"C8","C7"
788,"C3","C1"
789,"C4","C3"
790,"C3","C1"
791,"C4","C11"
792,"C6","C13"
793,"C5","C12"
794,"C7","C6"
795,"C5","C12"
796,"C9","C8"
797,"C9","C8"
798,"C7","C6"
799,"C9","C8"
800,"C9","C7"
801,"C8","C7"
802,"C5","C2"
803,"C5","C12"
804,"C5","C12"
805,"C5","C12"
806,"C10","C9"
807,"C7","C6"
808,"C7","C6"
809,"C10","C9"
810,"C1","C4"
811,"C7","C6"
812,"C1","C4"
813,"C5","C2"
814,"C8","C7"
815,"C1","C4"
816,"C5","C12"
817,"C5","C12"
818,"C10","C9"
819,"C1","C5"
820,"C3","C1"
821,"C10","C10"
822,"C1","C4"
823,"C8","C7"
824,"C7","C6"
825,"C3","C1"
826,"C3","C1"
827,"C5","C12"
828,"C5","C12"
829,"C3","C1"
830,"C4","C11"
831,"C10","C6"
832,"C7","C6"
833,"C4","C3"
834,"C10","C9"
835,"C10","C6"
836,"C10","C9"
837,"C2","C5"
838,"C7","C6"
839,"C5","C12"
840,"C3","C1"
841,"C5","C2"
842,"C10","C9"
843,"C1","C3"
844,"C5","C12"
845,"C1","C4"
846,"C9","C7"
847,"C7","C6"
848,"C8","C7"
849,"C3","C1"
850,"C3","C1"
851,"C10","C9"
852,"C1","C4"
853,"C3","C1"
854,"C9","C7"
855,"C1","C4"
856,"C5","C12"
857,"C7","C6"
858,"C3","C1"
859,"C8","C7"
860,"C3","C1"
861,"C2","C5"
862,"C7","C6"
863,"C5","C12"
864,"C7","C6"
865,"C5","C12"
866,"C9","C7"
867,"C5","C12"
868,"C5","C2"
869,"C10","C9"
870,"C3","C1"
871,"C6","C13"
872,"C1","C4"
873,"C10","C9"
874,"C8","C7"
875,"C5","C12"
876,"C3","C1"
877,"C1","C4"
878,"C3","C1"
879,"C7","C6"
880,"C3","C1"
881,"C1","C4"
882,"C7","C6"
883,"C1","C4"
884,"C7","C6"
885,"C5","C12"
886,"C7","C6"
887,"C10","C9"
888,"C5","C12"
889,"C1","C4"
890,"C3","C1"
891,"C10","C9"
892,"C3","C1"
893,"C7","C6"
894,"C4","C11"
895,"C3","C1"
896,"C3","C1"
897,"C3","C1"
898,"C8","C7"
899,"C1","C4"
900,"C3","C1"
901,"C9","C6"
902,"C4","C3"
903,"C8","C7"
904,"C3","C1"
905,"C9","C8"
