"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A1",4.43013247527124e-127,-2.46898323351495,0.021,0.867,1.62147278727403e-122
"PAX5",1.57512853271654e-117,-2.38830043716079,0.018,0.807,5.7651279425958e-113
"EBF1",3.32461608477896e-113,-2.30375199413131,0.016,0.78,1.21684273318995e-108
"FCRL1",1.7994586061539e-110,-2.0471446272689,0.013,0.753,6.58619844438388e-106
"LINC00926",2.12278374968593e-97,-1.88393229188578,0.021,0.707,7.76960080222546e-93
"OSBPL10",5.91886636630579e-94,-2.15336933677403,0.015,0.667,2.16636427873158e-89
"BANK1",8.55885356480661e-91,-3.23052423558592,0.147,0.88,3.13262599325487e-86
"CD22",1.34766516504164e-86,-1.59262662847734,0.01,0.607,4.93258927056891e-82
"NIBAN3",5.04545417709262e-86,-1.55807592784224,0.018,0.633,1.84668668335767e-81
"BLK",1.66984511229641e-84,-1.7719222580968,0.055,0.733,6.11180009551611e-80
"CD79A",2.16889894685435e-83,-1.90745215420675,0.05,0.707,7.93838703538159e-79
"IGHM",7.17520833379285e-80,-3.14904079697713,0.147,0.82,2.62619800225152e-75
"COL19A1",4.01824105311041e-79,-1.85260695711776,0.011,0.567,1.47071640784894e-74
"IGHD",2.23414121850073e-78,-1.58944275505537,0.013,0.573,8.17718027383451e-74
"AP002075.1",5.26228886757942e-76,-1.41771686724446,0.018,0.573,1.92605034842274e-71
"RALGPS2",1.01805833816272e-69,-2.52245813855798,0.233,0.86,3.72619532350935e-65
"PLEKHG1",2.82114364999779e-69,-1.52807948745621,0.029,0.573,1.03256678733569e-64
"AFF3",1.92482235525378e-68,-2.67523041624489,0.319,0.913,7.04504230246436e-64
"ADAM28",4.61840767435182e-63,-1.59524439582235,0.072,0.653,1.69038339288951e-58
"COBLL1",3.35482614278371e-61,-1.21869462699591,0.026,0.513,1.22789991652027e-56
"BLNK",3.90240455454539e-61,-1.1659169643246,0.028,0.52,1.42831909100916e-56
"LINC02397",9.54158205899289e-55,-0.904769482656204,0.007,0.4,3.49231444941199e-50
"LARGE1",5.62628418953034e-54,-1.62508421926237,0.046,0.52,2.05927627621e-49
"STEAP1B",2.23985977964104e-51,-1.46239150561754,0.02,0.427,8.19811077946416e-47
"CD79B",5.732595559606e-50,-1.32641813494045,0.085,0.58,2.09818730077139e-45
"FCER2",1.45100884937869e-49,-1.18779784583362,0.042,0.487,5.31083748961095e-45
"IGKC",2.36151521512326e-49,-4.01978340451955,0.384,0.827,8.64338183887264e-45
"TPD52",2.473265646317e-49,-1.41617668499317,0.176,0.747,9.05239959208487e-45
"KHDRBS2",1.47119684502361e-48,-1.44918806857033,0.059,0.527,5.38472757247091e-44
"SEL1L3",1.5315138538497e-46,-1.50701526687578,0.191,0.713,5.60549385647527e-42
"FCRL2",3.42993847649539e-45,-0.782245711691955,0.011,0.36,1.25539178178208e-40
"AC120193.1",1.24283373765303e-42,-1.15010483702164,0.07,0.52,4.54889576318384e-38
"DENND5B",1.08266612866001e-41,-1.0177065545901,0.044,0.447,3.96266629750851e-37
"LIX1-AS1",2.00970695228577e-41,-1.5512848979503,0.062,0.473,7.35572841606114e-37
"GNG7",5.02867986366996e-40,-1.3840885674113,0.125,0.593,1.84054711690184e-35
"CD74",8.87879496777193e-39,-1.16188313830301,0.984,0.993,3.24972774615421e-34
"P2RX5",9.82971112267194e-37,-0.806168323923477,0.034,0.38,3.59777256800915e-32
"CAMK4",1.61069429498722e-35,1.82633886245329,0.762,0.187,5.89530218908273e-31
"RUBCNL",2.56812193144875e-34,-0.910189122569585,0.094,0.513,9.39958308129557e-30
"ANGPTL1",5.95791188253959e-34,-0.935854047373433,0.065,0.433,2.18065532812831e-29
"BCL11B",7.02150691835033e-34,1.51052410062991,0.855,0.273,2.5699417471854e-29
"POU2AF1",1.18733808077167e-33,-0.590070973101489,0.01,0.273,4.3457761094324e-29
