"Cell.Index","Cluster_1_ResRNA_0-75_ResATAC_0-75_Iters_3_Dims_1to19"
1,"C1"
2,"C2"
3,"C1"
4,"C9"
5,"C16"
6,"C9"
7,"C16"
8,"C16"
9,"C16"
10,"C1"
11,"C16"
12,"C1"
13,"C1"
14,"C16"
15,"C1"
16,"C1"
17,"C5"
18,"C16"
19,"C1"
20,"C1"
21,"C2"
22,"C1"
23,"C1"
24,"C1"
25,"C16"
26,"C1"
27,"C9"
28,"C1"
29,"C10"
30,"C1"
31,"C2"
32,"C16"
33,"C1"
34,"C7"
35,"C1"
36,"C9"
37,"C9"
38,"C1"
39,"C2"
40,"C16"
41,"C16"
42,"C1"
43,"C8"
44,"C16"
45,"C9"
46,"C1"
47,"C16"
48,"C1"
49,"C9"
50,"C17"
51,"C16"
52,"C10"
53,"C16"
54,"C16"
55,"C7"
56,"C2"
57,"C2"
58,"C1"
59,"C2"
60,"C16"
61,"C7"
62,"C7"
63,"C1"
64,"C1"
65,"C10"
66,"C2"
67,"C9"
68,"C1"
69,"C16"
70,"C1"
71,"C2"
72,"C1"
73,"C1"
74,"C2"
75,"C16"
76,"C10"
77,"C1"
78,"C1"
79,"C16"
80,"C1"
81,"C9"
82,"C2"
83,"C16"
84,"C10"
85,"C10"
86,"C16"
87,"C1"
88,"C1"
89,"C9"
90,"C10"
91,"C9"
92,"C16"
93,"C9"
94,"C7"
95,"C16"
96,"C10"
97,"C8"
98,"C1"
99,"C2"
100,"C16"
101,"C2"
102,"C1"
103,"C1"
104,"C9"
105,"C9"
106,"C14"
107,"C16"
108,"C1"
109,"C1"
110,"C10"
111,"C8"
112,"C10"
113,"C1"
114,"C1"
115,"C1"
116,"C2"
117,"C1"
118,"C2"
119,"C9"
120,"C16"
121,"C2"
122,"C3"
123,"C10"
124,"C6"
125,"C16"
126,"C16"
127,"C1"
128,"C1"
129,"C16"
130,"C10"
131,"C1"
132,"C1"
133,"C7"
134,"C5"
135,"C9"
136,"C16"
137,"C9"
138,"C9"
139,"C2"
140,"C9"
141,"C2"
142,"C16"
143,"C16"
144,"C10"
145,"C1"
146,"C1"
147,"C1"
148,"C17"
149,"C7"
150,"C1"
151,"C10"
152,"C1"
153,"C17"
154,"C9"
155,"C1"
156,"C1"
157,"C1"
158,"C7"
159,"C16"
160,"C1"
161,"C1"
162,"C16"
163,"C1"
164,"C16"
165,"C1"
166,"C4"
167,"C7"
168,"C1"
169,"C16"
170,"C5"
171,"C9"
172,"C7"
173,"C1"
174,"C7"
175,"C1"
176,"C1"
177,"C17"
178,"C9"
179,"C16"
180,"C16"
181,"C16"
182,"C4"
183,"C1"
184,"C1"
185,"C1"
186,"C10"
187,"C2"
188,"C2"
189,"C9"
190,"C10"
191,"C1"
192,"C16"
193,"C1"
194,"C1"
195,"C2"
196,"C1"
197,"C1"
198,"C9"
199,"C1"
200,"C16"
201,"C7"
202,"C1"
203,"C1"
204,"C1"
205,"C8"
206,"C9"
207,"C1"
208,"C9"
209,"C16"
210,"C7"
211,"C7"
212,"C1"
213,"C16"
214,"C9"
215,"C1"
